week,date,ID,treat,totalmass,bagmass,mass,original_mass_2_27,SVL,deltamass,percentofstartweight,percentgrowthrate,notes,crickseaten,cricksfed,propcrick,percpercgrowthrate
2,3_6_2019,32,0.45,15.7,7.7,8,8.35,62.6,-0.35,0.958083832,0.958083832,,,,,
2,3_6_2019,40,0.45,13.4,7.7,5.7,5.8,58.1,-0.1,0.982758621,0.982758621,,,,,
2,3_6_2019,44,0.45,14.35,7.75,6.6,6.7,59.7,-0.1,0.985074627,0.985074627,,,,,
2,3_6_2019,57,0.45,12.85,7.7,5.15,5.2,58.2,-0.05,0.990384615,0.990384615,,,,,
2,3_6_2019,72,0.45,13,7.8,5.2,5.1,57,0.1,1.019607843,1.019607843,,,,,
2,3_6_2019,76,0.45,14.35,7.8,6.55,6.05,59.9,0.5,1.082644628,1.082644628,,,,,
2,3_6_2019,81,0.45,13.35,7.75,5.6,4.6,56,1,1.217391304,1.217391304,,,,,
2,3_6_2019,13,1.35,13.25,7.7,5.55,5.5,55,0.05,1.009090909,1.009090909,,,,,
2,3_6_2019,22,1.35,15.75,7.75,8,7.9,61.8,0.1,1.012658228,1.012658228,,,,,
2,3_6_2019,24,1.35,13.7,7.75,5.95,6.4,61.3,-0.45,0.9296875,0.9296875,,,,,
